INTEGRATIVE PRECISION ONCOLOGY CLINICS - CRISPRO OUTREACH DATABASE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Priority,Clinic Name,Medical Director,Location,Phone,Email,Website,Specialization,CrisPRO Fit,Notes,Outreach Status,Contact Date,Follow-up Date,Response Received,Partnership Level,Next Action
Tier 3,Verita Life,Leadership team,"I-Tower Floor 19, Bangkok 10900, Thailand",#ERROR!,thailand@veritalife.com,veritalife.com,"Hyperthermia, dendritic cell therapy, IPT, personalized protocols",★★★☆☆,"International locations, Thai/AUS/UK phone numbers available",Pending,,,,,
,Tier 2,Rutgers Cancer Institute (Precision Medicine),Dr. Cheri Coleman (Research Coord),"195 Little Albany St, New Brunswick, NJ 08903",(732) 235-2465,colemacj@cinj.rutgers.edu,cinj.org/precision-medicine,"Precision medicine, molecular tumor board, genetic counseling, personalized treatment",★★★★☆,"New patients: (844) 226-2376, Multi-disciplinary tumor board, genomic profiling",Pending,,,,
,Tier 1B,UCSD Precision Immunotherapy Clinic,"Dr. Sandip P. Patel, MD (Director)","3855 Health Sciences Dr, La Jolla, CA 92093",(858) 246-5300,cancercto@ucsd.edu,health.ucsd.edu/care/cancer/treatments/immunotherapy,"Immunotherapy clinical trials, DNA/immune profiling, personalized therapies",★★★★★,"No referral needed, early-stage clinical trials, world-renowned research",Pending,,,,
,Tier 2,Mayo Clinic Integrative Oncology,Department Team,"Rochester, MN; Jacksonville, FL; Scottsdale, AZ","FL: (904) 953-0951, MN: (507) 538-3270",flaintegrativemed@mayo.edu,mayoclinic.org/departments-centers/integrative-oncology,"Integrative oncology, symptom management, personalized care plans",★★★★☆,"Patient-centered approach, collaboration with care team, established patients FL/referral MN",Pending,,,,
,Tier 2,City of Hope Precision Medicine,Leadership team,"Duarte, CA (multiple locations)",(626) 218-2200,NewPatientreferral@coh.org,cancercenter.com/become-a-patient,"Precision medicine, genomic testing, targeted therapy, immunotherapy, clinical trials",★★★★☆,"NCI-designated comprehensive cancer center, advanced genomic testing",Pending,,,,
,Tier 1A,MD Anderson Cancer Center (Precision Oncology),Dr. Chuan Wu (Computational Precision Oncology Lab),"1515 Holcombe Blvd, Unit 1902, Houston, TX 77030",(713) 582-2393,CWu19@MDAnderson.org,mdanderson.org/research/precision-oncology,"Computational precision oncology, genomic profiling, clinical trials, targeted therapy",★★★★★,"New patients: (877) 632-6789, World-renowned cancer center, comprehensive precision medicine",Pending,,,,
,Tier 1B,Dana-Farber Cancer Institute (Profile/Precision Medicine),Leadership team,"450 Brookline Ave, Boston, MA 02215",(617) 632-3000,Contact via form at dana-farber.org,dana-farber.org/research/featured/precision-cancer-medicine,"Profile tumor genotyping, targeted therapy, immunotherapy research, clinical trials",★★★★★,"Genetic mutations ID, personalized treatment matching, pioneering checkpoint inhibitor research",Pending,,,,
,Tier 1B,Johns Hopkins inHealth Precision Medicine,"Dr. Vasan Yegansubramanian, MD PhD (Assoc Director)","Baltimore, MD",Contact form only,Contact form only,Contact via form at pm.jh.edu,"Precision medicine initiative, genomics, immunotherapy, advanced cancer care",★★★★★,"Bloomberg~Kimmel Institute, cutting-edge immunotherapy research, multi-disciplinary approach",Pending,,,,
,,,,,,,,,,,,,,,
,Tier 1A,Memorial Sloan Kettering Cancer Center (MSK Immunotherapy),Leadership team (Early Drug Development/ITC),"1275 York Ave, New York, NY 10065",(212) 639-2000,Contact form only,international@mskcc.org,"Immunotherapy pioneers, CAR-T, checkpoint blockade, precision cellular therapy, clinical trials",★★★★★,"Immuno-Oncology Program 2025, tissue-agnostic approach, mutational profiling, MSK-IMPACT testing",Pending,,,,
,Tier 2,Cleveland Clinic (Center for Immunotherapy & Precision Immuno-Oncology),Dr. Timothy Chan (Director),"Cleveland, OH",lri-contact@ccf.org,lerner.ccf.org/immunotherapy,"Immunogenomic profiling, CAR-T therapy, precision immuno-oncology, clinical trials",★★★★☆,"CITI department, immunogenomics, cell therapy development, precision medicine program",Pending,,,,,
,Tier 2,Stanford Cancer Center (Precision Oncology Group),Dr. Millie Das (Lung cancer precision oncology),"Stanford, CA 94305",referral@stanfordmed.org,med.stanford.edu/pcpogroup,"Precision oncology, molecular profiling, AI-based prediction models, targeted therapy",★★★★☆,"NGS-driven treatment, FDA-approved targeted therapies, clinical trial expertise",Pending,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tier 1B,UCLA Precision Health (Cancer Immunotherapy),Leadership team,"Los Angeles, CA",(310) 206-6907,precisionhealth@mednet.ucla.edu,uclahealth.org/precision-health,"CAR-NKT cell therapy, off-the-shelf immunotherapy, precision medicine, ovarian/breast cancer research",★★★★★,"Broad Stem Cell Research Center, $5k per dose CAR therapy, cutting-edge cancer vaccines",Pending,,,,,
Tier 1B,UCSF Helen Diller Cancer Center (Precision Medicine),Leadership team,"San Francisco, CA",(415) 353-7100,cancer_referrals@ucsf.edu,cancer.ucsf.edu/research/molecular-oncology,"Molecular Oncology Initiative, tumor board, UCSF 500 gene panel, precision imaging",★★★★★,"Precision Cancer Medicine Building, molecular profiling, NCI-designated comprehensive center",Pending,,,,,
Tier 1B,Penn Medicine Abramson Cancer Center,Dr. Robert Vonderheide (Director),"3400 Civic Center Blvd, Philadelphia, PA 19104",(800) 789-7366,Contact via form at pennmedicine.org,pennmedicine.org/specialties/cancer,"Caris Precision Oncology Alliance, liquid biopsy, molecular profiling, genomic research",★★★★★,"NCI-designated comprehensive center, 314 faculty members, paradigm-shifting research",Pending,,,,,
Tier 1B,Northwestern Medicine Lurie Cancer Center (OncoSET),Dr. Massimo Cristofanilli (OncoSET Director),"Chicago, IL",(312) 695-0990,cancer@northwestern.edu,cancer.northwestern.edu/cancer-care/oncoset,"OncoSET precision medicine, sequence-evaluate-treat, molecular tumor board, genomic sequencing",★★★★★,"NCI-designated comprehensive center, CAR-T program, hematopoietic stem cell transplant leader",Pending,,,,,
Tier 2,University of Chicago Medicine (Comprehensive Cancer Center),Dr. Walter Stadler (Senior Advisor),"Chicago, IL",(855) 702-8222,Contact via form at uchicagomedicine.org,uchicagomedicine.org/cancer/research/precision-medicine,"OncoPlus panel (1,212 genes), genomic/molecular pathology, clinical genomics lab",★★★★☆,"NCI-designated comprehensive center, CLIA-certified facilities, precision medicine focus",Pending,,,,,
Tier 2,Yale Cancer Center (Precision Medicine),Dr. William Oh (Precision Medicine Director),"New Haven, CT",(203) 785-5702,w.oh@yale.edu,medicine.yale.edu/cancer,"Precision Medicine Tumor Board, genetic/molecular profiling, clinical trials coordination",★★★★☆,"Smilow Cancer Hospital, multi-disciplinary cancer care, genetics program",Pending,,,,,
Tier 1B,OHSU Knight Cancer Institute,Dr. Lara Davis,"Portland, OR",(503) 494-8534,KnightCancerCRO@ohsu.edu,ohsu.edu/knight-cancer-institute,Precision oncology,★★★★★,"SMMART clinical trials, CAR T-cell therapy, Dr. Brian Druker's Gleevec legacy, biofabrication",,,,,,
Tier 1B,Fred Hutch Sloan Precision Oncology Ins,Dr. Peter Nelson,"Seattle, WA",(206) 667-5000,cancerconsortium@fredhutch.org,fredhutch.org,Precision oncology,★★★★★,"Molecular profiling, genomic diagnostics, rapid drug screening, theranostics",,,,,,
Tier 1B,University of Michigan Rogel Cancer Ce,Leadership team,"Ann Arbor, MI",(734) 936-4000,Contact via form at uofmhealth.org,uofmhealth.org/rogel,Comprehensive cancer,★★★★★,"NCI comprehensive designation, multidisciplinary tumor boards, clinical trials",,,,,,
Tier 1B,Moffitt Cancer Center (Precision Med),Dr. Patrick Hwu (CEO),"Tampa, FL",(813) 745-4673,Contact via form at moffitt.org,moffitt.org,Precision medicine,★★★★★,"Total Cancer Care, ORIEN alliance, CAR T-cell therapy (2000+ patients), immunotherapy leader",,,,,,
Tier 2,Duke Cancer Institute,Dr. Michael B Kastan,"Durham, NC",(919) 660-2100,Contact via form at dukecancerinstitute.org,dukecancerinstitute.org,Comprehensive cancer,★★★★☆,"NCI comprehensive designation, 11 disease sites, radiation oncology, clinical trials",,,,,,
Tier 1B,Cedars-Sinai Cancer (Angeles Clinic),Dr. Navid Hafez,"Los Angeles, CA",(310) 423-3277,cancer.trial.info@cshs.org,cedars-sinai.org,Precision medicine,★★★★★,"Angeles Clinic, Thoracic Oncology, Translational Research, Dr. Omid Hamid (Immuno-Oncology)",,,,,,
Tier 1B,Sidney Kimmel Cancer Center (Jefferson),Dr. Jennifer M. Johnson,"Philadelphia, PA",(215) 955-8874,Contact via form at jefferson.edu,jefferson.edu,Precision medicine,★★★★★,"Co-Director Precision Medicine Initiative, Molecular Tumor Board, Caris POA member",,,,,,
Tier 1A,Siteman Cancer Center (WashU),Leadership team,"St. Louis, MO",(314) 747-7222,Contact via form at siteman.wustl.edu,siteman.wustl.edu,Precision medicine,★★★★★,"Birthplace of precision medicine, ChromoSeq/GatewaySeq, first cancer genome sequenced, genomic testing",,,,,,
Tier 2,Vanderbilt-Ingram Cancer Center,Leadership team,"Nashville, TN",(615) 322-5000,Contact via form at vicc.org,vicc.org,Precision oncology,★★★★☆,"My Cancer Genome resource, SMART Precision Cancer Medicine app, PI3K testing",,,,,,
,,,,,,,,,,,,,,,
Tier 1B,Winship Cancer Institute (Emory),Leadership team,"Atlanta, GA",(404) 778-5000,Contact via form at winshipcancer.emory.edu,winshipcancer.emory.edu,Comprehensive cancer,★★★★★,"NCI comprehensive designation, Cancer Immunology, Precision Medicine, Caris POA member",,,,,,
Tier 2,Tisch Cancer Institute (Mount Sinai),Leadership team,"New York, NY",(212) 659-5600,crsu@mssm.edu,mountsinai.org/cancer,Precision oncology,★★★★☆,"NCI designated, Precision Medicine Retreat, Immunotherapy Center, 300K+ patient visits",,,,,,
Tier 1B,City of Hope Comprehensive Cancer Cen,Dr. Joanne Mortimer (Deputy Dir),"Duarte, CA",(626) 256-4673,NewPatientreferral@coh.org,cancercenter.com,Precision medicine,★★★★★,"Center for Precision Medicine, comprehensive molecular profiling, AI/ML data systems, genetic counseling",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tier 1B,Fox Chase Cancer Center,Leadership team,"Philadelphia, PA",(215) 728-6900,partners@fccc.edu,foxchase.org,Precision medicine,★★★★★,"Caris COE, Cancer-Code genomic sequencing, 7000+ colorectal cancer profiles",,,,,,
Tier 2,Roswell Park Comprehensive Cancer Cente,Dr. Agnieszka Witkiewicz,"Buffalo, NY",(716) 845-2300,askroswell@roswellpark.org,roswellpark.org,Precision medicine,★★★★☆,"OmniSeq genomic testing, ROCQI AI/ML imaging, KRAS targeted therapy research",,,,,,
Tier 1B,OSU Comprehensive Cancer Center (James),Leadership team,"Columbus, OH",(614) 293-5066,jamesline@osumc.edu,cancer.osu.edu,Precision medicine,★★★★★,"Caris POA member, James Diagnostic Center, immuno-oncology, translational genomics, clinical trials",,,,,,
Tier 2,Barbara Ann Karmanos Cancer Institu,Dr. Jailan Elayoubi,"Detroit, MI",(800) 527-6266,info@karmanos.org,karmanos.org,Precision medicine,★★★★☆,"Caris COE, biomarker research, breast cancer precision medicine, tumor molecular profiling",,,,,,
Tier 2,University of Arizona Cancer Center,Dr. Dan Theodorescu (Dir),"Tucson, AZ",(520) 626-7925,Contact via form at cancercenter.arizona.edu,cancercenter.arizona.edu,Precision medicine,★★★★☆,"Caris POA member, MT-POP AI platform, COXEN algorithm, Banner-UMC Tucson partnership",,,,,,
,,,,,,,,,,,,,,,
Tier 1B,Huntsman Cancer Institute,Dr. Cornelia Ulrich (Dir),"Salt Lake City, UT",(801) 213-5700,Contact via form at huntsmancancer.org,huntsmancancer.org,Comprehensive cancer,★★★★★,"NCI comprehensive, Caris POA, 5000+ precision medicine patients, digital twin research",,,,,,
Tier 2,Lurie Cancer Center (Northwestern),Leadership team,"Chicago, IL",(312) 695-0990,cancer@northwestern.edu,cancer.northwestern.edu,Comprehensive cancer,★★★★☆,"NCI comprehensive, OncoSET Precision Medicine Program, 300+ clinical trials, stem cell transplant leader",,,,,,
Tier 2,University of Colorado Cancer Center,Leadership team,"Aurora, CO",(720) 848-0300,Contact via form at cuanschutz.edu,cuanschutz.edu/cancer,Precision oncology,★★★★☆,"CMOCO molecular diagnostics lab, NGS testing, precision diagnostics, liquid biopsies",,,,,,
,,,,,,,,,,,,,,,
Tier 2,VCU Massey Comprehensive Cancer Cente,Dr. Robert A. Winn (Dir),"Richmond, VA",(804) 828-0450,teammassey@vcu.edu,masseycancercenter.org,Comprehensive cancer,★★★★☆,"NCI comprehensive, Dr. Charles Clevenger (Precision Oncology AD), Caris POA, DNA sequencing",,,,,,
Tier 2,MUSC Hollings Cancer Center,Dr. Thai Ho,"Charleston, SC",(843) 792-9300,Contact via form at hollingscancercenter.musc.edu,hollingscancercenter.musc.edu,Precision medicine,★★★★☆,"NCI designated, Precision Oncology Tumor Board, Caris POA, AI-driven treatment matching",,,,,,
Tier 2,Case Comprehensive Cancer Center (UH S,Leadership team,"Cleveland, OH",(216) 844-8797,Contact via form at case.edu/cancer,case.edu/cancer,Comprehensive cancer,★★★★☆,"NCI comprehensive, Caris POA, AI/oncologic data, immune-oncology focus",,,,,,
Tier 1B,Perlmutter Cancer Center (NYU),Dr. Shridar Ganesan,"New York, NY",(212) 263-2255,Contact via form at nyulangone.org,nyulangone.org,Comprehensive cancer,★★★★★,"NCI comprehensive, Center for Molecular Oncology, Tempus collaboration, AI-assisted diagnostics",,,,,,
Tier 2,UPMC Hillman Cancer Center,Leadership team,"Pittsburgh, PA",(412) 647-2811,Contact via form at hillmancancer.upmc.com,hillmancancer.upmc.com,Comprehensive cancer,★★★★☆,"NCI comprehensive, 70+ sites, Mario Lemieux Immunotherapy Center, UPMC Genomics Center, precision oncology",,,,,,
Tier 2,UW Carbone Cancer Center,Leadership team,"Madison, WI",(608) 265-1700,Contact via form at cancer.wisc.edu,cancer.wisc.edu,Comprehensive cancer,★★★★☆,"NCI comprehensive, Precision Medicine Molecular Tumor Board (4000+ cases), rural outreach",,,,,,
Tier 2,Scripps Cancer Center,Leadership team,"San Diego, CA",(858) 554-8585,Contact via form at scripps.org/cancer,scripps.org/cancer,Cancer research,★★★★☆,"Advanced genomics, liquid biopsy diagnostics, CAR-T platform, AbbVie collaboration, digital trials",,,,,,
Tier 2,Cancer Treatment Centers of America,Leadership team,Multiple locations,(800) 615-3055,Contact via form at cancercenter.com,cancercenter.com,Integrative oncology,★★★★☆,"City of Hope acquisition, precision medicine program, integrative care model, AZ/IL/GA locations",,,,,,
Tier 1B,Moffitt Integrative Medicine Program,Leadership team,"Tampa, FL",(813) 745-3980,Contact via form at moffitt.org,moffitt.org,Integrative medicine,★★★★★,"Healing & wellness services, massage/yoga, supportive care, mathematical oncology, evolutionary biology",,,,,,
Tier 2,Banner MD Anderson Cancer Center,Leadership team,"Gilbert, AZ",(480) 256-6444,Contact via form at bannerhealth.com,bannerhealth.com,Comprehensive cancer,★★★★☆,"Precision medicine program, multidisciplinary tumor boards, 200+ clinical trials, patient-centered approach",,,,,,
,,,,,,,,,,,,,,,
Tier 2,Sanford Health Cancer Center,Leadership team,"Sioux Falls, SD",(605) 312-2000,Contact via form at sanfordhealth.org,sanfordhealth.org/cancer,Comprehensive cancer,★★★★☆,"Precision oncology steward, genomics tumor board, Tempus collaboration, primary care genetic testing",,,,,,
Tier 2,Stephenson Cancer Center (OU Health),Dr. Kathleen Moore,"Oklahoma City, OK",(405) 271-4022,Contact via form at ouhealth.com,ouhealth.com,Comprehensive cancer,★★★★☆,"NCI designated, Caris POA, Radixact System (precision radiation), PSMA-PET imaging, #1 in OK",,,,,,
Tier 2,University of Kansas Cancer Center,Dr. Andrew Godwin (Deputy Dir),"Kansas City, KS",(913) 588-1227,Contact via form at kucancercenter.org,kucancercenter.org,Comprehensive cancer,★★★★☆,"NCI comprehensive, KIPM (Kansas Inst for Precision Medicine), myeloMATCH trial leader",,,,,,
Tier 2,Markey Cancer Center (UK HealthCare),Dr. B. Mark Evers (Dir),"Lexington, KY",(859) 257-4500,Contact via form at wakehealth.edu,ukhealthcare.uky.edu/markey,Comprehensive cancer,★★★★☆,"NCI designated, Precision Medicine Clinic, Molecular Tumor Board, Early Phase Clinical Trials Center",,,,,,
Tier 2,Wake Forest Baptist Cancer Center,Leadership team,"Winston-Salem, NC",(336) 716-2011,Contact via form at unclineberger.org,wakehealth.edu/cancer,Comprehensive cancer,★★★★☆,"NCI comprehensive, Precision Oncology Initiative, genomic sequencing, 120+ clinicians",,,,,,
Tier 2,UNC Lineberger Cancer Center,Leadership team,"Chapel Hill, NC",(984) 974-8324,Contact form on,unclineberger.org,Comprehensive cancer,★★★★☆,"NCI comprehensive, UNC Precision Oncology Program, UNCseq, CAR-T therapies, NCI-MATCH trial",,,,,,
,,,,,,,,,,,,,,,
Tier 1B,Herbert Irving Cancer Center (Columbia),Leadership team,"New York, NY",(212) 305-5098,Contact via form at cancer.columbia.edu,cancer.columbia.edu,Comprehensive cancer,★★★★★,"NCI comprehensive, Caris POA, Center for Precision Cancer Medicine, OncoLoop, molecular tumor board",,,,,,
Tier 1B,Jonsson Cancer Center (UCLA),Leadership team,"Los Angeles, CA",(310) 825-5268,Contact via form at uclahealth.org,uclahealth.org/cancer,Comprehensive cancer,★★★★★,"NCI comprehensive, cost-effective early detection (cfDNA), precision diagnostics, Herceptin/Gleevec origins",,,,,,
